Rk,Player,WAR,From,To,Age,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,WAR,WAA,oWAR,dWAR,Rbat,Rdp,Rbaser,Rbaser + Rdp,Rfield,Pos,Team,Player-additional
23,Matt Chapman,32.2,2017,2024,24-31,891,3684,3227,500,774,399,197,19,159,438,13,12,387,997,0.24,0.328,0.46,0.788,117,1486,52,46,0,24,3,32.2,19.8,22.1,12.3,72,-1,1,0,96,*5/H6D,OAKSFGTOR,chapmma01
24,Corey Seager,32.3,2015,2024,21-30,926,3999,3570,584,1041,625,232,13,171,549,17,7,371,706,0.292,0.361,0.508,0.869,133,1812,78,32,0,26,35,32.3,19.7,32.8,4.3,153,1,3,4,-2,6HD/5,LADTEX,seageco01
25,George Springer,36.4,2014,2024,24-34,1181,5269,4593,811,1223,755,205,19,244,660,89,39,560,1100,0.266,0.353,0.479,0.832,128,2198,94,71,2,28,11,36.4,19.4,33.8,0,186,-1,3,2,23,98DH/7,HOUTOR,springe01
26,Juan Soto,30,2018,2024,19-25,801,3478,2787,541,796,467,153,11,165,503,51,20,659,589,0.286,0.422,0.526,0.948,158,1466,76,12,2,17,65,30,19,31.7,-4.5,242,2,-8,-6,-13,*79DH,NYYSDPWSN,sotoju01
27,Xander Bogaerts,39.5,2013,2024,20-31,1442,6156,5523,850,1599,1064,341,17,177,751,94,19,526,1115,0.29,0.354,0.454,0.808,116,2505,136,53,5,49,20,39.5,19,45.3,2.3,134,-1,31,29,-61,*654DH,BOSSDP,bogaexa01
28,J.T. Realmuto,33.7,2014,2024,23-33,1159,4658,4241,599,1153,728,235,33,157,586,95,24,308,968,0.272,0.329,0.454,0.783,112,1925,87,68,1,35,18,33.7,18.8,31.6,9.1,74,7,18,25,24,*2H3D,MIAPHI,realmjt01
29,Justin Turner,37.4,2009,2024,24-39,1559,5850,5145,747,1481,953,330,9,189,770,45,13,522,893,0.288,0.364,0.466,0.83,125,2396,131,124,5,54,16,37.4,18.6,38.2,-0.5,202,-9,-2,-11,-5,5HD436/17,BALBOSLADNYMTOR,turneju01
30,Anthony Rendon,33.7,2013,2024,23-34,1135,4867,4219,671,1193,731,288,16,158,660,52,17,530,759,0.283,0.367,0.471,0.838,123,1987,90,60,4,54,30,33.7,18.6,31.3,5.2,132,-4,9,6,28,54H/6D,LAAWSN,rendoan01
31,Trevor Story,30.3,2016,2024,23-31,890,3734,3368,529,892,474,214,27,177,534,124,34,310,1051,0.265,0.332,0.502,0.834,108,1691,55,36,2,18,17,30.3,18.4,22,12.8,45,1,14,15,85,64H/D,BOSCOL,storytr01
32,Anthony Rizzo,39.2,2011,2024,21-34,1657,7056,6036,891,1587,941,328,22,296,938,72,44,761,1163,0.263,0.363,0.472,0.835,125,2847,143,216,0,43,75,39.2,17.2,32.6,-2.7,217,2,-24,-22,67,*3HD4/157,CHCNYYSDP,rizzoan01
